,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
165,my train left at six and arrived at ten,माझी ट्रेन दहा वाजता निघून दहा वाजता पोहोचली,[[-0.5547  0.1898 -0.2239 ... -0.2473 -0.0414  0.468 ]],[[ 0.03854  0.7065   0.2383  ... -0.10406 -0.3748  -0.578  ]],[[ 0.0686 -0.4563 -0.6577 ... -0.999   0.0683  0.4534]],[[ 0.011185  0.913    -0.41     ... -0.1267   -0.1252   -0.18    ]],[[ 0.451  -0.775  -0.1707 ... -0.784   0.8086  0.497 ]],[[ 0.3193   0.201   -0.3254  ...  0.1409  -0.3633   0.09607]],[[-0.626  -0.2301 -0.8975 ... -1.44    0.7173  1.056 ]],[[-0.2491  0.797  -1.192  ... -0.1779 -0.3816  0.9214]],[[ 0.2769  0.517  -2.56   ... -1.058   1.217   0.4224]],[[-0.5244  1.052   2.898  ...  0.4436 -0.1326  0.0456]]
166,id still like to have coffee with you,मला अजूनही तुझ्याबरोबर कॉफी प्यायला आवडेल,[[ 0.0959   -0.1752    0.6235   ...  0.03964  -0.08606   0.001297]],[[ 0.1702 -0.1113  0.3005 ...  0.3315 -0.0275  0.1025]],[[ 0.4963 -0.2225  0.5767 ...  0.2078  0.1417  0.5024]],[[0.4868 0.148  0.235  ... 0.5405 0.2637 0.7344]],[[ 0.658  -0.933   0.484  ... -0.2408  0.2854  1.369 ]],[[ 0.576    -0.09607  -0.006664 ...  0.4944    0.3472    0.9263  ]],[[ 0.2021 -2.34    0.3462 ...  1.01   -0.7046  2.03  ]],[[-0.6206 -0.7607 -0.662  ...  0.3665  0.3738  1.644 ]],[[-0.49   -0.7427 -0.1364 ...  0.2861 -0.1355  1.044 ]],[[-0.338   1.442   1.855  ...  0.6846  0.2644  0.1973]]
167,dont try to do all these things at once,ह्या सर्व गोष्टी एकाच वेळी करण्याचा प्रयत्न करू नका,[[-0.0585   0.0628   0.4001  ... -0.0331   0.00873  0.3735 ]],[[ 0.4072   0.1216  -0.00425 ...  0.1069   0.1655   0.4434 ]],[[ 0.3914   -0.005302  0.073    ... -0.0712   -0.0654    0.4158  ]],[[ 0.02774  0.3127  -0.596   ...  0.4229  -0.4912   0.8247 ]],[[-0.02184 -0.121   -0.9575  ...  0.102   -0.253    2.158  ]],[[-0.1166   0.09845 -1.451   ...  0.1298  -0.648    1.189  ]],[[-0.1896 -1.667  -1.21   ...  0.3699 -0.0498  3.85  ]],[[-1.249  -0.2957 -2.643  ...  0.648  -0.3987  1.749 ]],[[-0.5063  0.92   -2.24   ... -0.3455 -0.2886  1.567 ]],[[ 1.009    0.11053 -0.305   ...  0.3464  -0.4521   0.8535 ]]
168,in the british parliament approved the sugar act,मध्ये ब्रिटिश संसदेने साखर अधिनियमाला मान्यता दिली,[[ 0.0354  -0.2173   0.07294 ... -0.3145  -0.2744   0.3428 ]],[[-0.1571 -0.2207  0.0838 ...  0.2769 -0.2214  0.714 ]],[[-0.0312 -0.2578 -0.4165 ... -0.3242  0.3958  0.7466]],[[ 0.255    0.6226  -0.2673  ...  0.4434  -0.05188  0.851  ]],[[-0.4302  -0.439   -0.1906  ...  0.06085  0.2917   0.883  ]],[[-0.0925  0.2544 -0.5986 ...  0.3926  0.1571  0.7744]],[[-0.787  -1.247  -0.411  ...  0.0685 -0.1276  1.6875]],[[-1.62   -0.5015 -2.025  ...  0.1694  0.3428  0.6294]],[[ 0.268   0.5474 -0.6025 ... -1.66    0.6187  1.597 ]],[[-0.03308 -0.1956   0.2479  ... -0.4053   1.2705  -0.9087 ]]
169,they want it back,त्यांना ते परत हवंय,[[ 0.411    0.08765  0.7593  ... -0.4502  -0.2866  -0.4158 ]],[[ 0.3135  -0.2003  -0.0921  ...  0.1761   0.10144  0.6416 ]],[[ 0.9146   0.1543   0.7095  ... -0.4912  -0.08276 -0.2578 ]],[[ 0.5234   0.3691   0.075   ...  0.11145 -0.0876   0.68   ]],[[ 0.1252 -0.705   0.4849 ... -0.3792  0.1571  0.2001]],[[ 0.451  -0.173   0.1976 ...  0.416  -0.4207  0.4958]],[[ 0.6816 -0.8096  1.139  ...  0.365  -0.2397  0.3364]],[[-0.3145  -1.216   -0.386   ...  0.2466   0.05536  0.5728 ]],[[ 0.03882 -0.596   -1.067   ... -1.355    0.08307  1.176  ]],[[ 0.3777  -1.013    0.3801  ...  2.031    0.11017 -0.2893 ]]
170,tom got angry right away,टॉम ताबडतोब रागावला,[[ 0.0742 -0.2864  0.2896 ...  0.5464  0.7227  0.5347]],[[ 0.16    -0.3203  -0.2544  ... -0.1973   0.11005 -0.5576 ]],[[ 0.507     0.02657   0.1301   ... -0.2522   -0.006786  1.2     ]],[[ 0.0665 -0.2349 -0.9565 ... -0.8506 -0.484  -0.1199]],[[ 0.759    0.271    0.0633  ... -0.10876 -0.308    1.541  ]],[[ 0.4338 -0.618  -0.3093 ... -0.2186 -1.529  -0.378 ]],[[-0.2878    1.294    -0.1853   ...  1.324     0.011375  3.102   ]],[[-0.6274 -0.8975 -1.52   ... -0.751  -0.54   -0.1613]],[[-0.5986  1.785  -1.548  ... -0.2808 -0.721   2.125 ]],[[-1.128   0.717   0.66   ... -0.4634 -0.1333 -0.149 ]]
171,do you always take so long to answer a question,एखाद्या प्रश्नाचं उत्तर द्यायला तू नेहमीच इतका वेळ काढतोस का,[[-0.0691  -0.0697   0.2625  ... -0.09607  0.51     0.189  ]],[[ 0.2089   0.0317  -0.2954  ...  0.03458 -0.10516  0.3804 ]],[[ 0.1449 -0.3933  0.668  ... -0.312   0.7295  1.064 ]],[[ 0.2289   0.747   -0.659   ...  0.2966   0.05212  0.453  ]],[[-0.201  -0.653   0.3188 ... -0.7153  0.341   1.621 ]],[[ 0.0791  0.1487 -0.971  ... -0.2407 -0.0798  0.7554]],[[-1.204    -1.874     0.006397 ... -0.4722    1.427     3.488   ]],[[-1.518   -0.00932 -2.232   ... -0.03976  0.04962  1.433  ]],[[-1.681  -0.1465 -0.822  ... -0.095   1.1     1.75  ]],[[-0.501   0.3147 -0.521  ...  0.3628 -0.4727  0.1454]]
172,stop laughing,हसू नकोस,[[-1.607   -0.1161  -0.7593  ...  0.01514  0.4395  -0.3022 ]],[[ 0.6987  0.4326 -0.1434 ... -0.2656 -0.2986  0.8677]],[[-0.751   0.3652 -0.7827 ... -0.868   1.011   0.517 ]],[[ 1.036   0.3755 -0.7554 ...  0.733  -1.537   0.9395]],[[-0.01904  1.142    0.04053 ... -1.009    1.207    1.028  ]],[[ 0.876   0.1963 -0.1853 ...  0.5664 -1.362   0.8384]],[[ 0.05835  1.539   -0.3438  ... -0.9927   2.654    1.661  ]],[[ 0.7275  0.576  -0.1796 ... -0.2505 -1.755   2.59  ]],[[-0.391   2.305  -2.898  ... -0.526   0.253   0.6436]],[[ 0.639    1.276    2.348   ... -0.6226  -0.00834  1.266  ]]
173,did you take my car keys,तुम्ही माझ्या गाडीच्या चाव्या घेतल्या होत्या का,[[-0.02776 -0.11206  0.2842  ...  0.655   -0.0304   0.4392 ]],[[ 0.732  -0.0557  0.545  ...  0.4814 -0.496   0.6235]],[[ 0.556   0.0634  0.603  ... -0.838   0.2477  0.5728]],[[ 0.527   0.526   0.4146 ...  0.8657 -0.0735  1.562 ]],[[ 1.332   -0.02429  0.333   ... -1.439    0.4402   0.986  ]],[[ 0.2925 -0.2573 -0.1249 ...  0.8335 -0.1189  1.509 ]],[[ 1.175  -1.758   0.2974 ... -0.854   0.5464  1.494 ]],[[-0.9165 -1.1045 -1.023  ...  1.297   0.3035  1.709 ]],[[ 0.144   -0.04636 -0.4236  ... -0.5073   0.53     1.163  ]],[[ 0.4092 -0.1749  0.7773 ...  1.488  -0.5454 -0.1017]]
174,where in turkey do you live,तू तुर्कस्तानमध्ये कुठे राहतेस,[[-0.2058 -0.0919  0.3706 ... -0.2062 -0.1304 -0.1692]],[[ 0.5806  0.5273  0.2133 ...  0.2168 -0.453  -0.2177]],[[ 0.5605 -0.464  -0.1586 ... -0.75    0.1602 -0.4863]],[[ 1.205   0.665  -0.2299 ...  0.719  -0.421   0.2993]],[[ 0.864  -0.3025 -0.629  ... -1.301  -0.034  -0.5947]],[[ 1.235  -0.0938 -0.3918 ...  0.858  -0.2654  0.5684]],[[ 0.729  -0.7456 -1.253  ... -0.7197 -1.3955 -0.9907]],[[ 0.3228  0.4788 -1.681  ...  0.996  -0.7207  0.8105]],[[ 0.1628   0.707   -1.811   ... -0.547   -0.4373   0.08466]],[[-0.0335  0.8306  0.926  ...  1.062   0.7173  0.612 ]]
175,tom saw the file,टॉमने फाइल पाहिली,[[-0.0907  -0.863    0.05627 ...  0.1619   0.466    0.275  ]],[[ 0.1888  -0.1353  -0.03558 ...  0.568   -0.1908   0.6763 ]],[[ 0.4988 -0.592  -0.2651 ... -0.405  -0.2086  0.5776]],[[ 0.3008  -0.267   -0.01278 ... -0.2018  -0.1068   0.5513 ]],[[-0.2203  -1.03    -0.04156 ...  0.2041   0.1938   0.501  ]],[[ 0.7734 -0.5776 -0.0251 ...  0.2896 -0.5107  0.8203]],[[-1.067  -1.561  -0.538  ...  0.923  -0.1763  0.1526]],[[-0.619  -0.749  -0.95   ...  0.2795 -0.4763  1.238 ]],[[-1.266    0.02051 -0.6304  ... -0.312   -0.467   -0.5254 ]],[[-0.0397  -0.7607   0.7983  ...  0.11993  0.6104   0.595  ]]
176,who does the gun belong to,ही बंदूक कोणाची आहे,[[0.1016  0.285   0.4907  ... 0.297   0.6606  0.01915]],[[ 0.2778  0.4465 -0.4282 ... -0.0168 -0.0975  0.1304]],[[ 0.707    0.686   -0.2018  ...  0.04684  0.1967   1.223  ]],[[ 0.1284  0.3118 -1.157  ...  0.544  -0.194   0.625 ]],[[1.616   0.0463  0.01489 ... 0.591   0.1447  2.092  ]],[[ 0.4688    0.4229   -0.9976   ...  0.2178    0.007374  1.007   ]],[[ 2.098  -0.8877 -0.2059 ...  1.023  -0.2754  1.331 ]],[[-1.626    0.6377  -2.178   ...  0.4573  -0.06525  1.537  ]],[[ 1.104   0.1131 -1.264  ...  0.2512 -0.3757  1.026 ]],[[-1.169   0.9736 -0.496  ...  1.057  -0.837  -0.574 ]]
177,im not tired,मी थकलो नाहीये,[[-0.6157 -0.76    0.1608 ...  0.3762 -0.1501  0.5967]],[[ 0.0981  -0.1094   0.3042  ... -0.349   -0.5176   0.10706]],[[-0.896  -1.035   0.1193 ... -0.1998  0.3076  0.595 ]],[[ 1.315   0.7075 -0.1063 ...  0.2588 -0.955   1.067 ]],[[-1.393   -1.175    0.1588  ... -0.1885  -0.02129  0.4617 ]],[[ 1.355   0.1582 -0.3162 ...  0.0719 -1.158   0.972 ]],[[-2.25   -1.861  -0.578  ...  0.4324  0.6343  0.8647]],[[ 0.5405   -0.5845   -0.2334   ... -0.007423 -1.024     2.941   ]],[[-1.341   -0.2129  -0.11505 ... -1.968   -1.752    0.938  ]],[[-0.1968 -0.2764  1.913  ...  0.5312 -0.5186  0.5693]]
178,where was tom last monday,टॉम गेल्या सोमवारी कुठे होता,[[ 0.03232  0.01741  0.3225  ...  0.312    0.617   -0.1744 ]],[[ 0.3047   0.7344   0.6787  ...  0.769   -0.07983  0.2646 ]],[[ 0.03647  0.2029   0.4333  ... -0.0768   0.892   -0.3762 ]],[[0.743   0.527   0.6636  ... 0.01465 0.2764  0.6694 ]],[[-0.2861 -0.952   0.4087 ... -0.2676  0.711  -0.645 ]],[[ 1.166    0.01367 -0.5557  ...  0.2128  -0.2627   0.6245 ]],[[-1.091  -1.931   0.7837 ... -0.3123  0.1481 -0.3948]],[[-0.4224 -0.502  -2.23   ... -0.2642  0.3328  1.305 ]],[[-0.659  -0.5176 -0.822  ... -1.469   0.3613  0.1619]],[[-0.3933  -0.2878   0.02374 ...  0.187    0.4563   0.6094 ]]
179,they havent told me anything yet,त्यांनी मला अजूनपर्यंत काहीही सांगितलं नाहीये,[[-0.3232  0.1738  0.4377 ...  0.1276 -0.0635 -0.355 ]],[[-0.1403  0.2034  0.245  ... -0.3057 -0.327  -0.307 ]],[[-0.2717   0.5586   0.05786 ... -0.747   -0.00842 -0.355  ]],[[ 0.545    1.029    0.92    ...  0.495   -0.12335  0.2358 ]],[[-0.4683  0.6216  0.4817 ... -0.4634 -0.0663 -0.63  ]],[[ 0.6177    0.5547    0.4624   ... -0.002075 -0.998     0.3286  ]],[[-0.686    0.8228   1.804   ...  0.3525   0.11786 -0.4453 ]],[[-0.8413  -0.0783  -0.5474  ...  0.613   -0.45     0.10095]],[[-0.2761  0.391  -0.2102 ... -0.8364 -0.2122  0.783 ]],[[-0.2634 -0.3801  0.949  ...  0.8774  0.3916 -1.977 ]]
